fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 233903	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	205	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.020086291703587	0.823309584498166	288	23008	13402	156722471.764118	34
20231127 234922	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	170	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0202552299659838	0.808206791595957	1024	44128	14811	151695873.563218	35
20231127 235651	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	73	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0958583680059505	0.84897286839589	256	28307	12471	157080311.344328	36
20231128 000752	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	367	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0201796268568538	0.243350035350124	1022	45454	13434	150869646.176912	37
20231128 001537	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	531	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0472122282609078	0.837908510050446	8	41151	12599	154502352.323838	38
20231128 002514	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1007	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.205515756318518	0.897487877951597	8	31409	13165	150793485.757121	39
20231128 003315	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0686708515394988	0.879273478624116	397	25580	13458	156572970.514743	40
20231128 004436	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	202	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0207655242836369	0.844036664859011	250	27837	11821	156061655.672164	41
20231128 005123	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	54	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.103015297132718	0.795566127093073	510	37598	11322	155926689.655172	42
20231128 005706	551	2951478	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0728907318920059	0.814097027075342	38	25418	12479	151308449.275362	43
