fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20231127 211234	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	291	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0210995329436713	0.219527201681179	314	15765	13551	144975383.808096	65
20231127 211547	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	21	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.16270178237593	0.333949558405291	770	5380	11767	141652269.365317	66
20231127 211902	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	232	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.2507832151107	0.843448729692848	656	49338	13103	145776651.174413	67
20231127 212244	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	284	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.212621747227889	0.217198065030923	695	17617	11685	144215654.672664	68
20231127 212619	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0633925861909375	0.490801359007948	808	17238	12029	142596580.209895	69
20231127 212915	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	89	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.133580984165763	0.934390531523978	667	28703	12596	148504681.65917	70
20231127 213205	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	86	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0464425484761619	0.792504188037142	47	49076	14453	143815566.716642	71
20231127 213821	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	659	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.188305579245146	0.965564265649323	101	22753	12697	143573473.763118	72
20231127 214108	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	77	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.276086412589162	0.876890059120136	515	35263	11966	151865206.396802	73
20231127 214308	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	64	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0606360377601198	0.811942209488845	20	36954	16439	143250298.350825	74
20231127 214614	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	140	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.258782893364216	0.369909508054575	864	47349	11539	142220623.188406	75
20231127 214826	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	14	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.251703762360211	0.760597300137309	745	45668	13525	138427308.845577	76
20231127 215231	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	284	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.199936482491733	0.274265269266298	288	13626	12708	146888237.881059	77
20231127 215506	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	65	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.112744343818385	0.149296062202584	875	14907	13254	138300360.81959	78
20231127 215734	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	29	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.275381309533564	0.316418539809826	227	32324	12227	139849620.689655	79
20231127 220123	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0314803396998417	0.331703475280379	845	39492	14667	144574778.110945	80
20231127 220450	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	227	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.225154406435191	0.320180394974275	872	45325	14768	143962090.954523	81
20231127 220854	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	314	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.115841924865479	0.742647716550684	870	37832	13928	149929127.436282	82
20231127 221259	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	309	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.028756172814128	0.206681268007018	1019	38285	12255	143832351.324338	83
20231127 221601	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	71	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0902317477677584	0.827623541392504	917	22920	14200	145877481.25937	84
20231127 221923	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	206	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.17463714860296	0.927452656080474	639	42867	11794	148167317.341329	85
20231127 222336	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	156	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.02682791615748	0.605474934847806	984	30771	13343	145196781.109445	86
20231127 222731	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	973	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.191733294524449	0.0113578794824073	414	23484	14224	136542664.667666	87
20231127 223427	191	3328776	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1238	1	1	1	FALSE	1	0.1	50	0.5	TRUE	2	0.0351391008119688	0.0550968234937753	937	4477	11950	146740884.557721	88
