fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	data_sample_strategy	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	feature_fraction_bynode	max_depth	top_rate	other_rate	estimulos	ganancia	iteracion_bayesiana
20231126 234841	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	401	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0509489998221397	0.121913837148168	29	46656	0.716058041231299	38	0.171143885730999	0.292361718573375	11770	151413918.04098	28
20231126 235625	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	120	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0693206386035308	0.840109286435763	399	47069	0.506502519170172	17	0.548836356843822	0.403654559399001	14434	155410515.742129	29
20231127 000113	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	39	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.161880676597357	0.543671833624831	532	31023	0.419933203671244	12	0.150301066110842	0.176786503638141	11989	144423226.886557	30
20231127 001018	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	250	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.288998426841572	0.805068554112222	215	38314	0.974656211549882	2	0.575645576347597	0.38008004007861	12181	146964244.377811	31
20231127 002401	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	393	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.108987006573007	0.451209376894403	804	33630	0.939162514070049	11	0.59113154024817	0.271374822594225	13485	155251936.531734	32
20231127 003118	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.102407880299001	0.663696740687228	468	30154	0.745152121672028	30	0.56774652863052	0.422177721918466	12384	155061145.427286	33
20231127 004415	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	323	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0687665887680334	0.694090664421554	61	9782	0.933466235524029	12	0.169145038173578	0.293755915669588	12228	159937553.223388	34
20231127 005729	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	705	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0601221378699946	0.815245906890228	235	7699	0.952613971166785	4	0.121107176348775	0.213074033492108	11653	157813607.696152	35
20231127 010934	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	385	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0751626397664689	0.651137200242583	111	10978	0.780965778218606	2	0.249079918508222	0.214485967274351	11267	159502514.242879	36
20231127 011510	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	197	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0741112553130991	0.0804758579070196	332	10211	0.866345167736251	5	0.0769107007493988	0.271135188989843	12813	150339244.877561	37
20231127 012307	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	349	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0698959358228681	0.800963910829357	65	10311	0.656855442098289	20	0.320340534581988	0.250340179053071	13691	157127957.521239	38
20231127 013519	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	588	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0802559676445958	0.629199666337781	48	8925	0.844562221256246	2	0.23282553447067	0.156390644870338	10836	155512377.811094	39
20231127 014832	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	568	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0485389676071668	0.699112642486079	84	11000	0.92274979258749	5	0.161573939528224	0.554207997304765	12359	158186850.074963	40
20231127 015305	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	485	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0600344546208596	0.6789587524975	232	10261	0.600960331074214	10	0.122098487041695	0.000165431459130404	11424	154066242.878561	41
20231127 020057	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	441	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0644680048852695	0.740344677274996	355	25915	0.930140947104179	19	0.209995103338964	0.315593193244162	12950	159485012.493753	42
20231127 021134	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	362	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0643480186195386	0.627014693952863	213	17969	0.767406650058983	22	0.160417774255074	0.266093206898209	12272	158527744.127936	43
20231127 021532	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	76	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0694521095099653	0.706048780598715	9	17734	0.957797948661732	25	0.276217005405797	0.437146094065993	11609	149824456.271864	44
20231127 023002	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1069	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0607143120910894	0.663419587609269	290	21020	0.644988492027411	5	0.274547265919556	0.298873820469021	11139	154641792.603698	45
20231127 024513	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	808	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0581737152814733	0.799195384887059	340	13890	0.79392702527599	13	0.217630988994392	0.165415311037649	12599	157903351.824088	46
20231127 025031	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	90	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0630947984878499	0.708797980184675	445	27738	0.928157825624137	13	0.12710882097027	0.177905421695424	12465	152353635.682159	47
20231127 025500	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	25	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.110623153049956	0.717993034335789	383	29605	0.84455049376782	24	0.279908124560868	0.311225193368387	13270	148520094.952524	48
20231127 030003	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	129	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.089858037253505	0.684100667021333	327	23490	0.816842663453017	20	0.187440746494471	0.0957043622488155	14805	156988608.195902	49
20231127 031037	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	223	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0496023782063944	0.953576603041106	189	10018	0.986853615843533	8	0.211365844841588	0.55959693168614	13902	158960302.848576	50
20231127 032325	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	434	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.101442105652536	0.528114798003459	456	20246	0.785777368182877	18	0.151462997848148	0.322751553443219	12160	156692673.663168	51
20231127 033026	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	201	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0572372452129049	0.829020831676041	1001	25349	0.55255640871415	29	0.222600364890274	0.139207361162619	13071	156833614.692654	52
20231127 033852	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	103	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0496745285993338	0.321326990759146	57	11918	0.866966217426608	2	0.287340715330241	0.463905079516557	12424	156390620.689655	53
20231127 034524	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	47	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.124364035105017	0.615461981991162	487	25409	0.920309086771891	10	0.225984389430815	0.244158320860181	14253	154141143.928036	54
20231127 040047	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1127	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.087829602743547	0.840485164129442	466	12003	0.82837595970678	18	0.20270551406184	0.10625928054396	10996	154702742.628686	55
20231127 042047	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	560	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.044947563762817	0.588596535642232	281	24933	0.523669448376857	17	0.207005079251953	0.681441253275324	13453	157966271.364318	56
20231127 043845	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1242	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0576412017849713	0.653813691261976	358	21486	0.674013983727562	43	0.165912954588055	0.196817420981922	11602	158759713.143428	57
20231127 045625	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	657	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0542130707604036	0.584013019036118	42	6623	0.900451114215239	34	0.142129595068959	0.417674675781138	11565	158900332.333833	58
20231127 050301	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	51	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0386881068197993	0.989998722352029	112	25704	0.881786977856534	33	0.214757329559696	0.206718687540258	14635	150593840.57971	59
20231127 051307	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	79	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0664096447184707	0.564460163763986	641	25397	0.714260787302972	8	0.209477276196772	0.588467565741005	10733	151862803.098451	60
20231127 052659	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	874	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0494231710484185	0.652855708195593	276	10798	0.449363707038976	12	0.220396291690402	0.3129223018602	12005	157822591.204398	61
20231127 055148	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1285	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.056022650424163	0.747716546472278	347	23466	0.811403985292609	24	0.183410366310544	0.311152421153774	12326	157225086.456772	62
20231127 055647	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	24	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0653287644892495	0.869643599798617	55	6408	0.853938142333842	22	0.14005962141611	0.480379457520991	12301	153882525.237381	63
20231127 061608	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1164	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0841508770079555	0.72695769572207	783	37800	0.480133259972777	13	0.547081874701944	0.274128611979077	11963	158439969.515242	64
20231127 062854	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	778	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0498019935806305	0.667592251461715	223	10902	0.894289324714289	12	0.221356924940844	0.29590314933826	11340	157514692.653673	65
20231127 065225	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	842	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0707985017404012	0.685894534331468	140	12331	0.439812837520917	4	0.164803104015122	0.238592343384236	12621	155387052.973513	66
20231127 071150	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1143	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0624765198901988	0.604540002447761	43	11914	0.688629481756968	9	0.238960178801124	0.431852427578309	11009	154460198.4008	67
20231127 072454	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	792	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0726147872824354	0.825160307767788	325	37722	0.902369522978418	44	0.200947164924935	0.194300126430443	13701	157533439.78011	68
20231127 074513	551	2215457	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	818	1	1	1	FALSE	1	0.1	50	0.5	TRUE	goss	135977	0.0483848323640933	0.652260042057956	328	1890	0.502674615266237	42	0.115814856554974	0.540383235440185	13111	158773184.907546	69
